titles,summaries,terms
Linguistic Structure Guided Context Modeling for Referring Image Segmentation,"Referring image segmentation aims to predict the foreground mask of the
object referred by a natural language sentence. Multimodal context of the
sentence is crucial to distinguish the referent from the background. Existing
methods either insufficiently or redundantly model the multimodal context. To
tackle this problem, we propose a ""gather-propagate-distribute"" scheme to model
multimodal context by cross-modal interaction and implement this scheme as a
novel Linguistic Structure guided Context Modeling (LSCM) module. Our LSCM
module builds a Dependency Parsing Tree suppressed Word Graph (DPT-WG) which
guides all the words to include valid multimodal context of the sentence while
excluding disturbing ones through three steps over the multimodal feature,
i.e., gathering, constrained propagation and distributing. Extensive
experiments on four benchmarks demonstrate that our method outperforms all the
previous state-of-the-arts.","['Computer Vision and Pattern Recognition', 'Computation and Language']"
Improved and efficient inter-vehicle distance estimation using road gradients of both ego and target vehicles,"In advanced driver assistant systems and autonomous driving, it is crucial to
estimate distances between an ego vehicle and target vehicles. Existing
inter-vehicle distance estimation methods assume that the ego and target
vehicles drive on a same ground plane. In practical driving environments,
however, they may drive on different ground planes. This paper proposes an
inter-vehicle distance estimation framework that can consider slope changes of
a road forward, by estimating road gradients of \emph{both} ego vehicle and
target vehicles and using a 2D object detection deep net. Numerical experiments
demonstrate that the proposed method significantly improves the distance
estimation accuracy and time complexity, compared to deep learning-based depth
estimation methods.",['Computer Vision and Pattern Recognition']
Bandwidth selection for kernel estimation in mixed multi-dimensional spaces,"Kernel estimation techniques, such as mean shift, suffer from one major
drawback: the kernel bandwidth selection. The bandwidth can be fixed for all
the data set or can vary at each points. Automatic bandwidth selection becomes
a real challenge in case of multidimensional heterogeneous features. This paper
presents a solution to this problem. It is an extension of \cite{Comaniciu03a}
which was based on the fundamental property of normal distributions regarding
the bias of the normalized density gradient. The selection is done iteratively
for each type of features, by looking for the stability of local bandwidth
estimates across a predefined range of bandwidths. A pseudo balloon mean shift
filtering and partitioning are introduced. The validity of the method is
demonstrated in the context of color image segmentation based on a
5-dimensional space.",['Computer Vision and Pattern Recognition']
Texture Synthesis Guided Deep Hashing for Texture Image Retrieval,"With the large-scale explosion of images and videos over the internet,
efficient hashing methods have been developed to facilitate memory and time
efficient retrieval of similar images. However, none of the existing works uses
hashing to address texture image retrieval mostly because of the lack of
sufficiently large texture image databases. Our work addresses this problem by
developing a novel deep learning architecture that generates binary hash codes
for input texture images. For this, we first pre-train a Texture Synthesis
Network (TSN) which takes a texture patch as input and outputs an enlarged view
of the texture by injecting newer texture content. Thus it signifies that the
TSN encodes the learnt texture specific information in its intermediate layers.
In the next stage, a second network gathers the multi-scale feature
representations from the TSN's intermediate layers using channel-wise
attention, combines them in a progressive manner to a dense continuous
representation which is finally converted into a binary hash code with the help
of individual and pairwise label information. The new enlarged texture patches
also help in data augmentation to alleviate the problem of insufficient texture
data and are used to train the second stage of the network. Experiments on
three public texture image retrieval datasets indicate the superiority of our
texture synthesis guided hashing approach over current state-of-the-art
methods.",['Computer Vision and Pattern Recognition']
Towards Stable Symbol Grounding with Zero-Suppressed State AutoEncoder,"While classical planning has been an active branch of AI, its applicability
is limited to the tasks precisely modeled by humans. Fully automated high-level
agents should be instead able to find a symbolic representation of an unknown
environment without supervision, otherwise it exhibits the knowledge
acquisition bottleneck. Meanwhile, Latplan (Asai and Fukunaga 2018) partially
resolves the bottleneck with a neural network called State AutoEncoder (SAE).
SAE obtains the propositional representation of the image-based puzzle domains
with unsupervised learning, generates a state space and performs classical
planning. In this paper, we identify the problematic, stochastic behavior of
the SAE-produced propositions as a new sub-problem of symbol grounding problem,
the symbol stability problem. Informally, symbols are stable when their
referents (e.g. propositional values) do not change against small perturbation
of the observation, and unstable symbols are harmful for symbolic reasoning. We
analyze the problem in Latplan both formally and empirically, and propose
""Zero-Suppressed SAE"", an enhancement that stabilizes the propositions using
the idea of closed-world assumption as a prior for NN optimization. We show
that it finds the more stable propositions and the more compact
representations, resulting in an improved success rate of Latplan. It is robust
against various hyperparameters and eases the tuning effort, and also provides
a weight pruning capability as a side effect.","['Machine Learning', 'Artificial Intelligence']"
Relational Embedding for Few-Shot Classification,"We propose to address the problem of few-shot classification by meta-learning
""what to observe"" and ""where to attend"" in a relational perspective. Our method
leverages relational patterns within and between images via self-correlational
representation (SCR) and cross-correlational attention (CCA). Within each
image, the SCR module transforms a base feature map into a self-correlation
tensor and learns to extract structural patterns from the tensor. Between the
images, the CCA module computes cross-correlation between two image
representations and learns to produce co-attention between them. Our Relational
Embedding Network (RENet) combines the two relational modules to learn
relational embedding in an end-to-end manner. In experimental evaluation, it
achieves consistent improvements over state-of-the-art methods on four widely
used few-shot classification benchmarks of miniImageNet, tieredImageNet,
CUB-200-2011, and CIFAR-FS.",['Computer Vision and Pattern Recognition']
Using Generative Adversarial Nets on Atari Games for Feature Extraction in Deep Reinforcement Learning,"Deep Reinforcement Learning (DRL) has been successfully applied in several
research domains such as robot navigation and automated video game playing.
However, these methods require excessive computation and interaction with the
environment, so enhancements on sample efficiency are required. The main reason
for this requirement is that sparse and delayed rewards do not provide an
effective supervision for representation learning of deep neural networks. In
this study, Proximal Policy Optimization (PPO) algorithm is augmented with
Generative Adversarial Networks (GANs) to increase the sample efficiency by
enforcing the network to learn efficient representations without depending on
sparse and delayed rewards as supervision. The results show that an increased
performance can be obtained by jointly training a DRL agent with a GAN
discriminator.
  ----
  Derin Pekistirmeli Ogrenme, robot navigasyonu ve otomatiklestirilmis video
oyunu oynama gibi arastirma alanlarinda basariyla uygulanmaktadir. Ancak,
kullanilan yontemler ortam ile fazla miktarda etkilesim ve hesaplama
gerektirmekte ve bu nedenle de ornek verimliligi yonunden iyilestirmelere
ihtiyac duyulmaktadir. Bu gereksinimin en onemli nedeni, gecikmeli ve seyrek
odul sinyallerinin derin yapay sinir aglarinin etkili betimlemeler
ogrenebilmesi icin yeterli bir denetim saglayamamasidir. Bu calismada,
Proksimal Politika Optimizasyonu algoritmasi Uretici Cekismeli Aglar (UCA) ile
desteklenerek derin yapay sinir aglarinin seyrek ve gecikmeli odul sinyallerine
bagimli olmaksizin etkili betimlemeler ogrenmesi tesvik edilmektedir. Elde
edilen sonuclar onerilen algoritmanin ornek verimliliginde artis elde ettigini
gostermektedir.","['Machine Learning', 'Artificial Intelligence']"
Combining Background Subtraction Algorithms with Convolutional Neural Network,"Accurate and fast extraction of foreground object is a key prerequisite for a
wide range of computer vision applications such as object tracking and
recognition. Thus, enormous background subtraction methods for foreground
object detection have been proposed in recent decades. However, it is still
regarded as a tough problem due to a variety of challenges such as illumination
variations, camera jitter, dynamic backgrounds, shadows, and so on. Currently,
there is no single method that can handle all the challenges in a robust way.
In this letter, we try to solve this problem from a new perspective by
combining different state-of-the-art background subtraction algorithms to
create a more robust and more advanced foreground detection algorithm. More
specifically, an encoder-decoder fully convolutional neural network
architecture is trained to automatically learn how to leverage the
characteristics of different algorithms to fuse the results produced by
different background subtraction algorithms and output a more precise result.
Comprehensive experiments evaluated on the CDnet 2014 dataset demonstrate that
the proposed method outperforms all the considered single background
subtraction algorithm. And we show that our solution is more efficient than
other combination strategies.",['Computer Vision and Pattern Recognition']
Show Why the Answer is Correct! Towards Explainable AI using Compositional Temporal Attention,"Visual Question Answering (VQA) models have achieved significant success in
recent times. Despite the success of VQA models, they are mostly black-box
models providing no reasoning about the predicted answer, thus raising
questions for their applicability in safety-critical such as autonomous systems
and cyber-security. Current state of the art fail to better complex questions
and thus are unable to exploit compositionality. To minimize the black-box
effect of these models and also to make them better exploit compositionality,
we propose a Dynamic Neural Network (DMN), which can understand a particular
question and then dynamically assemble various relatively shallow deep learning
modules from a pool of modules to form a network. We incorporate compositional
temporal attention to these deep learning based modules to increase
compositionality exploitation. This results in achieving better understanding
of complex questions and also provides reasoning as to why the module predicts
a particular answer. Experimental analysis on the two benchmark datasets,
VQA2.0 and CLEVR, depicts that our model outperforms the previous approaches
for Visual Question Answering task as well as provides better reasoning, thus
making it reliable for mission critical applications like safety and security.",['Computer Vision and Pattern Recognition']
Improved RAMEN: Towards Domain Generalization for Visual Question Answering,"Currently nearing human-level performance, Visual Question Answering (VQA) is
an emerging area in artificial intelligence.
  Established as a multi-disciplinary field in machine learning, both computer
vision and natural language processing communities are working together to
achieve state-of-the-art (SOTA) performance.
  However, there is a gap between the SOTA results and real world applications.
  This is due to the lack of model generalisation.
  The RAMEN model \cite{Shrestha2019} aimed to achieve domain generalization by
obtaining the highest score across two main types of VQA datasets.
  This study provides two major improvements to the early/late fusion module
and aggregation module of the RAMEN architecture, with the objective of further
strengthening domain generalization.
  Vector operations based fusion strategies are introduced for the fusion
module and the transformer architecture is introduced for the aggregation
module.
  Improvements of up to five VQA datasets from the experiments conducted are
evident.
  Following the results, this study analyses the effects of both the
improvements on the domain generalization problem.
  The code is available on GitHub though the following link
\url{https://github.com/bhanukaManesha/ramen}.","['Computer Vision and Pattern Recognition', 'Machine Learning']"
MSR-GCN: Multi-Scale Residual Graph Convolution Networks for Human Motion Prediction,"Human motion prediction is a challenging task due to the stochasticity and
aperiodicity of future poses. Recently, graph convolutional network has been
proven to be very effective to learn dynamic relations among pose joints, which
is helpful for pose prediction. On the other hand, one can abstract a human
pose recursively to obtain a set of poses at multiple scales. With the increase
of the abstraction level, the motion of the pose becomes more stable, which
benefits pose prediction too. In this paper, we propose a novel Multi-Scale
Residual Graph Convolution Network (MSR-GCN) for human pose prediction task in
the manner of end-to-end. The GCNs are used to extract features from fine to
coarse scale and then from coarse to fine scale. The extracted features at each
scale are then combined and decoded to obtain the residuals between the input
and target poses. Intermediate supervisions are imposed on all the predicted
poses, which enforces the network to learn more representative features. Our
proposed approach is evaluated on two standard benchmark datasets, i.e., the
Human3.6M dataset and the CMU Mocap dataset. Experimental results demonstrate
that our method outperforms the state-of-the-art approaches. Code and
pre-trained models are available at https://github.com/Droliven/MSRGCN.",['Computer Vision and Pattern Recognition']
Joint Visual Grounding with Language Scene Graphs,"Visual grounding is a task to ground referring expressions in images, e.g.,
localize ""the white truck in front of the yellow one"". To resolve this task
fundamentally, the model should first find out the contextual objects (e.g.,
the ""yellow"" truck) and then exploit them to disambiguate the referent from
other similar objects by using the attributes and relationships (e.g., ""white"",
""yellow"", ""in front of""). However, due to the lack of annotations on contextual
objects and their relationships, existing methods degenerate the above joint
grounding process into a holistic association between the expression and
regions, thus suffering from unsatisfactory performance and limited
interpretability. In this paper, we alleviate the missing-annotation problem
and enable the joint reasoning by leveraging the language scene graph which
covers both labeled referent and unlabeled contexts (other objects, attributes,
and relationships). Specifically, the language scene graph is a graphical
representation where the nodes are objects with attributes and the edges are
relationships. We construct a factor graph based on it and then perform
marginalization over the graph, such that we can ground both referent and
contexts on corresponding image regions to achieve the joint visual grounding
(JVG). Experimental results demonstrate that the proposed approach is effective
and interpretable, e.g., on three benchmarks, it outperforms the
state-of-the-art methods while offers a complete grounding of all the objects
mentioned in the referring expression.",['Computer Vision and Pattern Recognition']
Semantic Part Segmentation using Compositional Model combining Shape and Appearance,"In this paper, we study the problem of semantic part segmentation for
animals. This is more challenging than standard object detection, object
segmentation and pose estimation tasks because semantic parts of animals often
have similar appearance and highly varying shapes. To tackle these challenges,
we build a mixture of compositional models to represent the object boundary and
the boundaries of semantic parts. And we incorporate edge, appearance, and
semantic part cues into the compositional model. Given part-level segmentation
annotation, we develop a novel algorithm to learn a mixture of compositional
models under various poses and viewpoints for certain animal classes.
Furthermore, a linear complexity algorithm is offered for efficient inference
of the compositional model using dynamic programming. We evaluate our method
for horse and cow using a newly annotated dataset on Pascal VOC 2010 which has
pixelwise part labels. Experimental results demonstrate the effectiveness of
our method.",['Computer Vision and Pattern Recognition']
Visual Explanation for Deep Metric Learning,"This work explores the visual explanation for deep metric learning and its
applications. As an important problem for learning representation, metric
learning has attracted much attention recently, while the interpretation of
such model is not as well studied as classification. To this end, we propose an
intuitive idea to show where contributes the most to the overall similarity of
two input images by decomposing the final activation. Instead of only providing
the overall activation map of each image, we propose to generate point-to-point
activation intensity between two images so that the relationship between
different regions is uncovered. We show that the proposed framework can be
directly deployed to a large range of metric learning applications and provides
valuable information for understanding the model. Furthermore, our experiments
show its effectiveness on two potential applications, i.e. cross-view pattern
discovery and interactive retrieval. The source code is available at
\url{https://github.com/Jeff-Zilence/Explain_Metric_Learning}.",['Computer Vision and Pattern Recognition']
End-to-End 3D Multi-Object Tracking and Trajectory Forecasting,"3D multi-object tracking (MOT) and trajectory forecasting are two critical
components in modern 3D perception systems. We hypothesize that it is
beneficial to unify both tasks under one framework to learn a shared feature
representation of agent interaction. To evaluate this hypothesis, we propose a
unified solution for 3D MOT and trajectory forecasting which also incorporates
two additional novel computational units. First, we employ a feature
interaction technique by introducing Graph Neural Networks (GNNs) to capture
the way in which multiple agents interact with one another. The GNN is able to
model complex hierarchical interactions, improve the discriminative feature
learning for MOT association, and provide socially-aware context for trajectory
forecasting. Second, we use a diversity sampling function to improve the
quality and diversity of our forecasted trajectories. The learned sampling
function is trained to efficiently extract a variety of outcomes from a
generative trajectory distribution and helps avoid the problem of generating
many duplicate trajectory samples. We show that our method achieves
state-of-the-art performance on the KITTI dataset. Our project website is at
http://www.xinshuoweng.com/projects/GNNTrkForecast.","['Computer Vision and Pattern Recognition', 'Machine Learning', 'Multiagent Systems', 'Robotics']"
Reinforced Cross-Modal Matching and Self-Supervised Imitation Learning for Vision-Language Navigation,"Vision-language navigation (VLN) is the task of navigating an embodied agent
to carry out natural language instructions inside real 3D environments. In this
paper, we study how to address three critical challenges for this task: the
cross-modal grounding, the ill-posed feedback, and the generalization problems.
First, we propose a novel Reinforced Cross-Modal Matching (RCM) approach that
enforces cross-modal grounding both locally and globally via reinforcement
learning (RL). Particularly, a matching critic is used to provide an intrinsic
reward to encourage global matching between instructions and trajectories, and
a reasoning navigator is employed to perform cross-modal grounding in the local
visual scene. Evaluation on a VLN benchmark dataset shows that our RCM model
significantly outperforms previous methods by 10% on SPL and achieves the new
state-of-the-art performance. To improve the generalizability of the learned
policy, we further introduce a Self-Supervised Imitation Learning (SIL) method
to explore unseen environments by imitating its own past, good decisions. We
demonstrate that SIL can approximate a better and more efficient policy, which
tremendously minimizes the success rate performance gap between seen and unseen
environments (from 30.7% to 11.7%).","['Computer Vision and Pattern Recognition', 'Artificial Intelligence', 'Computation and Language', 'Robotics']"
Future Localization from an Egocentric Depth Image,"This paper presents a method for future localization: to predict a set of
plausible trajectories of ego-motion given a depth image. We predict paths
avoiding obstacles, between objects, even paths turning around a corner into
space behind objects. As a byproduct of the predicted trajectories of
ego-motion, we discover in the image the empty space occluded by foreground
objects. We use no image based features such as semantic labeling/segmentation
or object detection/recognition for this algorithm. Inspired by proxemics, we
represent the space around a person using an EgoSpace map, akin to an
illustrated tourist map, that measures a likelihood of occlusion at the
egocentric coordinate system. A future trajectory of ego-motion is modeled by a
linear combination of compact trajectory bases allowing us to constrain the
predicted trajectory. We learn the relationship between the EgoSpace map and
trajectory from the EgoMotion dataset providing in-situ measurements of the
future trajectory. A cost function that takes into account partial occlusion
due to foreground objects is minimized to predict a trajectory. This cost
function generates a trajectory that passes through the occluded space, which
allows us to discover the empty space behind the foreground objects. We
quantitatively evaluate our method to show predictive validity and apply to
various real world scenes including walking, shopping, and social interactions.",['Computer Vision and Pattern Recognition']
Unsupervised learning for economic risk evaluation in the context of Covid-19 pandemic,"Justifying draconian measures during the Covid-19 pandemic was difficult not
only because of the restriction of individual rights, but also because of its
economic impact. The objective of this work is to present a machine learning
approach to identify regions that should implement similar health policies. For
that end, we successfully developed a system that gives a notion of economic
impact given the prediction of new incidental cases through unsupervised
learning and time series forecasting. This system was built taking into account
computational restrictions and low maintenance requirements in order to improve
the system's resilience. Finally this system was deployed as part of a web
application for simulation and data analysis of COVID-19, in Colombia,
available at (https://covid19.dis.eafit.edu.co).","['Machine Learning', 'Computers and Society']"
Unsupervised automatic classification of Scanning Electron Microscopy (SEM) images of CD4+ cells with varying extent of HIV virion infection,"Archiving large sets of medical or cell images in digital libraries may
require ordering randomly scattered sets of image data according to specific
criteria, such as the spatial extent of a specific local color or contrast
content that reveals different meaningful states of a physiological structure,
tissue, or cell in a certain order, indicating progression or recession of a
pathology, or the progressive response of a cell structure to treatment. Here
we used a Self Organized Map (SOM)-based, fully automatic and unsupervised,
classification procedure described in our earlier work and applied it to sets
of minimally processed grayscale and/or color processed Scanning Electron
Microscopy (SEM) images of CD4+ T-lymphocytes (so-called helper cells) with
varying extent of HIV virion infection. It is shown that the quantization error
in the SOM output after training permits to scale the spatial magnitude and the
direction of change (+ or -) in local pixel contrast or color across images of
a series with a reliability that exceeds that of any human expert. The
procedure is easily implemented and fast, and represents a promising step
towards low-cost automatic digital image archiving with minimal intervention of
a human operator.","['Computer Vision and Pattern Recognition', 'Artificial Intelligence']"
Interactive Image Generation Using Scene Graphs,"Recent years have witnessed some exciting developments in the domain of
generating images from scene-based text descriptions. These approaches have
primarily focused on generating images from a static text description and are
limited to generating images in a single pass. They are unable to generate an
image interactively based on an incrementally additive text description
(something that is more intuitive and similar to the way we describe an image).
We propose a method to generate an image incrementally based on a sequence of
graphs of scene descriptions (scene-graphs). We propose a recurrent network
architecture that preserves the image content generated in previous steps and
modifies the cumulative image as per the newly provided scene information. Our
model utilizes Graph Convolutional Networks (GCN) to cater to variable-sized
scene graphs along with Generative Adversarial image translation networks to
generate realistic multi-object images without needing any intermediate
supervision during training. We experiment with Coco-Stuff dataset which has
multi-object images along with annotations describing the visual scene and show
that our model significantly outperforms other approaches on the same dataset
in generating visually consistent images for incrementally growing scene
graphs.","['Computer Vision and Pattern Recognition', 'Artificial Intelligence', 'Machine Learning']"
ADAPT : Awesome Domain Adaptation Python Toolbox,"ADAPT is an open-source python library providing the implementation of
several domain adaptation methods. The library is suited for scikit-learn
estimator object (object which implement fit and predict methods) and
tensorflow models. Most of the implemented methods are developed in an
estimator agnostic fashion, offering various possibilities adapted to multiple
usage. The library offers three modules corresponding to the three principal
strategies of domain adaptation: (i) feature-based containing methods
performing feature transformation; (ii) instance-based with the implementation
of reweighting techniques and (iii) parameter-based proposing methods to adapt
pre-trained models to novel observations. A full documentation is proposed
online https://adapt-python.github.io/adapt/ with gallery of examples. Besides,
the library presents an high test coverage.",['Machine Learning']
Saliency Maps Generation for Automatic Text Summarization,"Saliency map generation techniques are at the forefront of explainable AI
literature for a broad range of machine learning applications. Our goal is to
question the limits of these approaches on more complex tasks. In this paper we
apply Layer-Wise Relevance Propagation (LRP) to a sequence-to-sequence
attention model trained on a text summarization dataset. We obtain unexpected
saliency maps and discuss the rightfulness of these ""explanations"". We argue
that we need a quantitative way of testing the counterfactual case to judge the
truthfulness of the saliency maps. We suggest a protocol to check the validity
of the importance attributed to the input and show that the saliency maps
obtained sometimes capture the real use of the input features by the network,
and sometimes do not. We use this example to discuss how careful we need to be
when accepting them as explanation.","['Machine Learning', 'Computation and Language']"
CNN based texture synthesize with Semantic segment,"Deep learning algorithm display powerful ability in Computer Vision area, in
recent year, the CNN has been applied to solve problems in the subarea of
Image-generating, which has been widely applied in areas such as photo editing,
image design, computer animation, real-time rendering for large scale of scenes
and for visual effects in movies. However in the texture synthesize procedure.
The state-of-art CNN can not capture the spatial location of texture in image,
lead to significant distortion after texture synthesize, we propose a new way
to generating-image by adding the semantic segment step with deep learning
algorithm as Pre-Processing and analyze the outcome.","['Computer Vision and Pattern Recognition', 'Graphics', 'Machine Learning']"
Time Series Domain Adaptation via Sparse Associative Structure Alignment,"Domain adaptation on time series data is an important but challenging task.
Most of the existing works in this area are based on the learning of the
domain-invariant representation of the data with the help of restrictions like
MMD. However, such extraction of the domain-invariant representation is a
non-trivial task for time series data, due to the complex dependence among the
timestamps. In detail, in the fully dependent time series, a small change of
the time lags or the offsets may lead to difficulty in the domain invariant
extraction. Fortunately, the stability of the causality inspired us to explore
the domain invariant structure of the data. To reduce the difficulty in the
discovery of causal structure, we relax it to the sparse associative structure
and propose a novel sparse associative structure alignment model for domain
adaptation. First, we generate the segment set to exclude the obstacle of
offsets. Second, the intra-variables and inter-variables sparse attention
mechanisms are devised to extract associative structure time-series data with
considering time lags. Finally, the associative structure alignment is used to
guide the transfer of knowledge from the source domain to the target one.
Experimental studies not only verify the good performance of our methods on
three real-world datasets but also provide some insightful discoveries on the
transferred knowledge.",['Machine Learning']
An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"While the Transformer architecture has become the de-facto standard for
natural language processing tasks, its applications to computer vision remain
limited. In vision, attention is either applied in conjunction with
convolutional networks, or used to replace certain components of convolutional
networks while keeping their overall structure in place. We show that this
reliance on CNNs is not necessary and a pure transformer applied directly to
sequences of image patches can perform very well on image classification tasks.
When pre-trained on large amounts of data and transferred to multiple mid-sized
or small image recognition benchmarks (ImageNet, CIFAR-100, VTAB, etc.), Vision
Transformer (ViT) attains excellent results compared to state-of-the-art
convolutional networks while requiring substantially fewer computational
resources to train.","['Computer Vision and Pattern Recognition', 'Artificial Intelligence', 'Machine Learning']"
Provable Convergence of Nesterov Accelerated Method for Over-Parameterized Neural Networks,"Despite the empirical success of deep learning, it still lacks theoretical
understandings to explain why randomly initialized neural network trained by
first-order optimization methods is able to achieve zero training loss, even
though its landscape is non-convex and non-smooth. Recently, there are some
works to demystifies this phenomenon under over-parameterized regime. In this
work, we make further progress on this area by considering a commonly used
momentum optimization algorithm: Nesterov accelerated method (NAG). We analyze
the convergence of NAG for two-layer fully connected neural network with ReLU
activation. Specifically, we prove that the error of NAG converges to zero at a
linear convergence rate $1-\Theta(1/\sqrt{\kappa})$, where $\kappa > 1$ is
determined by the initialization and the architecture of neural network.
Comparing to the rate $1-\Theta(1/\kappa)$ of gradient descent, NAG achieves an
acceleration. Besides, it also validates NAG and Heavy-ball method can achieve
a similar convergence rate.","['Machine Learning', 'Artificial Intelligence']"
VoxResNet: Deep Voxelwise Residual Networks for Volumetric Brain Segmentation,"Recently deep residual learning with residual units for training very deep
neural networks advanced the state-of-the-art performance on 2D image
recognition tasks, e.g., object detection and segmentation. However, how to
fully leverage contextual representations for recognition tasks from volumetric
data has not been well studied, especially in the field of medical image
computing, where a majority of image modalities are in volumetric format. In
this paper we explore the deep residual learning on the task of volumetric
brain segmentation. There are at least two main contributions in our work.
First, we propose a deep voxelwise residual network, referred as VoxResNet,
which borrows the spirit of deep residual learning in 2D image recognition
tasks, and is extended into a 3D variant for handling volumetric data. Second,
an auto-context version of VoxResNet is proposed by seamlessly integrating the
low-level image appearance features, implicit shape information and high-level
context together for further improving the volumetric segmentation performance.
Extensive experiments on the challenging benchmark of brain segmentation from
magnetic resonance (MR) images corroborated the efficacy of our proposed method
in dealing with volumetric data. We believe this work unravels the potential of
3D deep learning to advance the recognition performance on volumetric image
segmentation.",['Computer Vision and Pattern Recognition']
Shape from Blur: Recovering Textured 3D Shape and Motion of Fast Moving Objects,"We address the novel task of jointly reconstructing the 3D shape, texture,
and motion of an object from a single motion-blurred image. While previous
approaches address the deblurring problem only in the 2D image domain, our
proposed rigorous modeling of all object properties in the 3D domain enables
the correct description of arbitrary object motion. This leads to significantly
better image decomposition and sharper deblurring results. We model the
observed appearance of a motion-blurred object as a combination of the
background and a 3D object with constant translation and rotation. Our method
minimizes a loss on reconstructing the input image via differentiable rendering
with suitable regularizers. This enables estimating the textured 3D mesh of the
blurred object with high fidelity. Our method substantially outperforms
competing approaches on several benchmarks for fast moving objects deblurring.
Qualitative results show that the reconstructed 3D mesh generates high-quality
temporal super-resolution and novel views of the deblurred object.",['Computer Vision and Pattern Recognition']
Working Memory Graphs,"Transformers have increasingly outperformed gated RNNs in obtaining new
state-of-the-art results on supervised tasks involving text sequences. Inspired
by this trend, we study the question of how Transformer-based models can
improve the performance of sequential decision-making agents. We present the
Working Memory Graph (WMG), an agent that employs multi-head self-attention to
reason over a dynamic set of vectors representing observed and recurrent state.
We evaluate WMG in three environments featuring factored observation spaces: a
Pathfinding environment that requires complex reasoning over past observations,
BabyAI gridworld levels that involve variable goals, and Sokoban which
emphasizes future planning. We find that the combination of WMG's
Transformer-based architecture with factored observation spaces leads to
significant gains in learning efficiency compared to baseline architectures
across all tasks. WMG demonstrates how Transformer-based models can
dramatically boost sample efficiency in RL environments for which observations
can be factored.","['Machine Learning', 'Artificial Intelligence', 'Computation and Language']"
Fast LIDAR-based Road Detection Using Fully Convolutional Neural Networks,"In this work, a deep learning approach has been developed to carry out road
detection using only LIDAR data. Starting from an unstructured point cloud,
top-view images encoding several basic statistics such as mean elevation and
density are generated. By considering a top-view representation, road detection
is reduced to a single-scale problem that can be addressed with a simple and
fast fully convolutional neural network (FCN). The FCN is specifically designed
for the task of pixel-wise semantic segmentation by combining a large receptive
field with high-resolution feature maps. The proposed system achieved excellent
performance and it is among the top-performing algorithms on the KITTI road
benchmark. Its fast inference makes it particularly suitable for real-time
applications.",['Computer Vision and Pattern Recognition']
A sequential guiding network with attention for image captioning,"The recent advances of deep learning in both computer vision (CV) and natural
language processing (NLP) provide us a new way of understanding semantics, by
which we can deal with more challenging tasks such as automatic description
generation from natural images. In this challenge, the encoder-decoder
framework has achieved promising performance when a convolutional neural
network (CNN) is used as image encoder and a recurrent neural network (RNN) as
decoder. In this paper, we introduce a sequential guiding network that guides
the decoder during word generation. The new model is an extension of the
encoder-decoder framework with attention that has an additional guiding long
short-term memory (LSTM) and can be trained in an end-to-end manner by using
image/descriptions pairs. We validate our approach by conducting extensive
experiments on a benchmark dataset, i.e., MS COCO Captions. The proposed model
achieves significant improvement comparing to the other state-of-the-art deep
learning models.","['Computer Vision and Pattern Recognition', 'Computation and Language']"
Semantic-guided Encoder Feature Learning for Blurry Boundary Delineation,"Encoder-decoder architectures are widely adopted for medical image
segmentation tasks. With the lateral skip connection, the models can obtain and
fuse both semantic and resolution information in deep layers to achieve more
accurate segmentation performance. However, in many applications (e.g., blurry
boundary images), these models often cannot precisely locate complex boundaries
and segment tiny isolated parts. To solve this challenging problem, we firstly
analyze why simple skip connections are not enough to help accurately locate
indistinct boundaries and argue that it is due to the fuzzy information in the
skip connection provided in the encoder layers. Then we propose a
semantic-guided encoder feature learning strategy to learn both high resolution
and rich semantic encoder features so that we can more accurately locate the
blurry boundaries, which can also enhance the network by selectively learning
discriminative features. Besides, we further propose a soft contour constraint
mechanism to model the blurry boundary detection. Experimental results on real
clinical datasets show that our proposed method can achieve state-of-the-art
segmentation accuracy, especially for the blurry regions. Further analysis also
indicates that our proposed network components indeed contribute to the
improvement of performance. Experiments on additional datasets validate the
generalization ability of our proposed method.",['Computer Vision and Pattern Recognition']
Deep Functional Dictionaries: Learning Consistent Semantic Structures on 3D Models from Functions,"Various 3D semantic attributes such as segmentation masks, geometric
features, keypoints, and materials can be encoded as per-point probe functions
on 3D geometries. Given a collection of related 3D shapes, we consider how to
jointly analyze such probe functions over different shapes, and how to discover
common latent structures using a neural network --- even in the absence of any
correspondence information. Our network is trained on point cloud
representations of shape geometry and associated semantic functions on that
point cloud. These functions express a shared semantic understanding of the
shapes but are not coordinated in any way. For example, in a segmentation task,
the functions can be indicator functions of arbitrary sets of shape parts, with
the particular combination involved not known to the network. Our network is
able to produce a small dictionary of basis functions for each shape, a
dictionary whose span includes the semantic functions provided for that shape.
Even though our shapes have independent discretizations and no functional
correspondences are provided, the network is able to generate latent bases, in
a consistent order, that reflect the shared semantic structure among the
shapes. We demonstrate the effectiveness of our technique in various
segmentation and keypoint selection applications.",['Computer Vision and Pattern Recognition']
